"filename", "language", "JSON", "CSV", "Markdown", "Python", "PostCSS", "JavaScript JSX", "JavaScript", "HTML", "XML", "C++", "Properties", "reStructuredText", "Makefile", "CMake", "C", "Shell Script", "pip requirements", "MS SQL", "comment", "blank", "total"
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\11_selenium.ipynb", "JSON", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 181
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset1\seoul_cafes_data.csv", "CSV", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset1\seoul_cafes_map.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 624, 1263
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset1\seoul_shops_data.csv", "CSV", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset1\seoul_shops_map.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 624, 1263
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset1\test.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset\new_book_dataset.csv", "CSV", 0, 831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 832
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset\practice_book_dataset.csv", "CSV", 0, 831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 832
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset\practice_json.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\DataAnalysis\dataset\택시승차대 현황.csv", "CSV", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\coding_test.py", "Python", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 52, 259
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\my_package\calc.py", "Python", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\practice.ipynb", "JSON", 2652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2653
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\00_practice.py", "Python", 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 129, 584
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\01_variable.py", "Python", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 60
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\02_data_type.py", "Python", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 22, 109
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\03_opperator.py", "Python", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 22, 88
